Unnamed: 0,state,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
39254,Texas,2021-05-30,2991010,51505,384.0,14.0,0.036458333333333336
39255,Texas,2021-05-31,2991154,51508,144.0,3.0,0.020833333333333332
39256,Texas,2021-06-01,2991313,51525,159.0,17.0,0.1069182389937107
39257,Texas,2021-06-02,2993308,51575,1995.0,50.0,0.02506265664160401
39258,Texas,2021-06-03,2995170,51633,1862.0,58.0,0.031149301825993556
39259,Texas,2021-06-04,2997932,51676,2762.0,43.0,0.015568428674873281
39260,Texas,2021-06-05,2999911,51701,1979.0,25.0,0.012632642748863061
39261,Texas,2021-06-06,3000548,51719,637.0,18.0,0.0282574568288854
39262,Texas,2021-06-07,3001053,51736,505.0,17.0,0.033663366336633666
39263,Texas,2021-06-08,3002845,51777,1792.0,41.0,0.022879464285714284
39264,Texas,2021-06-09,3009338,51814,6493.0,37.0,0.005698444478669336
39265,Texas,2021-06-10,3011813,51846,2475.0,32.0,0.01292929292929293
39266,Texas,2021-06-11,3013276,51889,1463.0,43.0,0.02939166097060834
39267,Texas,2021-06-12,3014344,51912,1068.0,23.0,0.02153558052434457
39268,Texas,2021-06-13,3014664,51929,320.0,17.0,0.053125
39269,Texas,2021-06-14,3015040,51940,376.0,11.0,0.02925531914893617
39270,Texas,2021-06-15,3016347,51967,1307.0,27.0,0.020657995409334353
39271,Texas,2021-06-16,3017780,52007,1433.0,40.0,0.027913468248429867
39272,Texas,2021-06-17,3019547,52040,1767.0,33.0,0.01867572156196944
39273,Texas,2021-06-18,3020481,52083,934.0,43.0,0.046038543897216275
39274,Texas,2021-06-19,3022485,52098,2004.0,15.0,0.0074850299401197605
39275,Texas,2021-06-20,3023011,52110,526.0,12.0,0.022813688212927757
39276,Texas,2021-06-21,3023097,52118,86.0,8.0,0.09302325581395349
39277,Texas,2021-06-22,3024890,52150,1793.0,32.0,0.01784718349135527
39278,Texas,2021-06-23,3025569,52183,679.0,33.0,0.048600883652430045
39279,Texas,2021-06-24,3027809,52217,2240.0,34.0,0.015178571428571428
39280,Texas,2021-06-25,3029487,52246,1678.0,29.0,0.01728247914183552
39281,Texas,2021-06-26,3031332,52265,1845.0,19.0,0.010298102981029811
39282,Texas,2021-06-27,3031650,52273,318.0,8.0,0.025157232704402517
39283,Texas,2021-06-28,3031833,52279,183.0,6.0,0.03278688524590164
39284,Texas,2021-06-29,3034157,52308,2324.0,29.0,0.012478485370051634
39285,Texas,2021-06-30,3035767,52337,1610.0,29.0,0.018012422360248446
39286,Texas,2021-07-01,3038013,52410,2246.0,73.0,0.03250222617987533
39287,Texas,2021-07-02,3039924,52453,1911.0,43.0,0.02250130821559393
39288,Texas,2021-07-03,3041362,52473,1438.0,20.0,0.013908205841446454
