Unnamed: 0,state,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
4406,California,2021-05-30,3854325,62125,710.0,7.0,0.009859154929577466
4407,California,2021-05-31,3854806,62132,481.0,7.0,0.014553014553014554
4408,California,2021-06-01,3855392,62156,586.0,24.0,0.040955631399317405
4409,California,2021-06-02,3856307,62196,915.0,40.0,0.04371584699453552
4410,California,2021-06-03,3857493,62275,1186.0,79.0,0.06661045531197302
4411,California,2021-06-04,3858739,62330,1246.0,55.0,0.044141252006420544
4412,California,2021-06-05,3859941,62561,1202.0,231.0,0.19217970049916805
4413,California,2021-06-06,3860883,62579,942.0,18.0,0.01910828025477707
4414,California,2021-06-07,3861740,62581,857.0,2.0,0.002333722287047841
4415,California,2021-06-08,3862770,62590,1030.0,9.0,0.008737864077669903
4416,California,2021-06-09,3863728,62633,958.0,43.0,0.04488517745302714
4417,California,2021-06-10,3864963,62664,1235.0,31.0,0.025101214574898785
4418,California,2021-06-11,3866060,62590,1097.0,-74.0,-0.0674567000911577
4419,California,2021-06-12,3867039,62592,979.0,2.0,0.0020429009193054137
4420,California,2021-06-13,3867680,62587,641.0,-5.0,-0.0078003120124804995
4421,California,2021-06-14,3868622,62596,942.0,9.0,0.009554140127388535
4422,California,2021-06-15,3869425,62611,803.0,15.0,0.0186799501867995
4423,California,2021-06-16,3870310,62631,885.0,20.0,0.022598870056497175
4424,California,2021-06-17,3871620,62661,1310.0,30.0,0.022900763358778626
4425,California,2021-06-18,3872626,62693,1006.0,32.0,0.03180914512922465
4426,California,2021-06-19,3873787,62723,1161.0,30.0,0.025839793281653745
4427,California,2021-06-20,3874897,62731,1110.0,8.0,0.007207207207207207
4428,California,2021-06-21,3875729,62740,832.0,9.0,0.010817307692307692
4429,California,2021-06-22,3876557,62780,828.0,40.0,0.04830917874396135
4430,California,2021-06-23,3878076,62849,1519.0,69.0,0.04542462146148782
4431,California,2021-06-24,3880122,62920,2046.0,71.0,0.03470185728250244
4432,California,2021-06-25,3881927,62979,1805.0,59.0,0.032686980609418284
4433,California,2021-06-26,3884156,63020,2229.0,41.0,0.018393898609241812
4434,California,2021-06-27,3885370,63032,1214.0,12.0,0.009884678747940691
4435,California,2021-06-28,3886501,63038,1131.0,6.0,0.005305039787798408
4436,California,2021-06-29,3882563,63063,-3938.0,25.0,-0.0063484002031488065
4437,California,2021-06-30,3884312,63137,1749.0,74.0,0.04230989136649514
4438,California,2021-07-01,3886111,63177,1799.0,40.0,0.022234574763757644
4439,California,2021-07-02,3886897,63186,786.0,9.0,0.011450381679389313
4440,California,2021-07-03,3887576,63186,679.0,0.0,0.0
4441,California,2021-07-04,3888133,63186,557.0,0.0,0.0
4442,California,2021-07-05,3892059,63252,3926.0,66.0,0.016811003565970453
4443,California,2021-07-06,3893981,63291,1922.0,39.0,0.02029136316337149
4444,California,2021-07-07,3895804,63344,1823.0,53.0,0.029072956664838178
4445,California,2021-07-08,3898309,63402,2505.0,58.0,0.02315369261477046
4446,California,2021-07-09,3899634,63418,1325.0,16.0,0.012075471698113207
4447,California,2021-07-10,3900919,63419,1285.0,1.0,0.0007782101167315176
4448,California,2021-07-11,3907246,63495,6327.0,76.0,0.012012012012012012
4449,California,2021-07-12,3910762,63520,3516.0,25.0,0.007110352673492605
4450,California,2021-07-13,3915554,63541,4792.0,21.0,0.004382303839732888
4451,California,2021-07-14,3919333,63567,3779.0,26.0,0.006880127017729558
4452,California,2021-07-15,3922560,63638,3227.0,71.0,0.02200185931205454
4453,California,2021-07-16,3926254,63642,3694.0,4.0,0.0010828370330265296
4454,California,2021-07-17,3928255,63642,2001.0,0.0,0.0
4455,California,2021-07-18,3938211,63675,9956.0,33.0,0.003314584170349538
4456,California,2021-07-19,3943846,63697,5635.0,22.0,0.003904170363797693
4457,California,2021-07-20,3951352,63704,7506.0,7.0,0.0009325872635225154
4458,California,2021-07-21,3957561,63734,6209.0,30.0,0.00483169592526977
4459,California,2021-07-22,3965851,63768,8290.0,34.0,0.004101326899879373
4460,California,2021-07-23,3966917,63791,1066.0,23.0,0.021575984990619138
4461,California,2021-07-24,3972671,63793,5754.0,2.0,0.0003475842891901286
4462,California,2021-07-25,3987790,63836,15119.0,43.0,0.0028441034459951056
4463,California,2021-07-26,3997076,63856,9286.0,20.0,0.002153779883695886
4464,California,2021-07-27,4005108,63887,8032.0,31.0,0.003859561752988048
4465,California,2021-07-28,4013197,63924,8089.0,37.0,0.004574112992953393
4466,California,2021-07-29,4023958,63969,10761.0,45.0,0.004181767493727348
4467,California,2021-07-30,4028636,63984,4678.0,15.0,0.0032064985036340315
4468,California,2021-07-31,4032171,63984,3535.0,0.0,0.0
4469,California,2021-08-01,4056452,64121,24281.0,137.0,0.0056422717351015195
4470,California,2021-08-02,4066273,64140,9821.0,19.0,0.0019346298747581713
4471,California,2021-08-03,4076397,64183,10124.0,43.0,0.004247333069932833
4472,California,2021-08-04,4086654,64241,10257.0,58.0,0.005654674856195769
4473,California,2021-08-05,4101810,64276,15156.0,35.0,0.0023093164423330695
4474,California,2021-08-06,4115797,64312,13987.0,36.0,0.0025738185457925217
4475,California,2021-08-07,4128547,64350,12750.0,38.0,0.002980392156862745
4476,California,2021-08-08,4138158,64366,9611.0,16.0,0.0016647591301633545
4477,California,2021-08-09,4151241,64380,13083.0,14.0,0.001070090957731407
4478,California,2021-08-10,4162543,64019,11302.0,-361.0,-0.031941249336400634
4479,California,2021-08-11,4173733,64081,11190.0,62.0,0.005540661304736372
4480,California,2021-08-12,4188114,64137,14381.0,56.0,0.0038940268409707254
4481,California,2021-08-13,4203842,64185,15728.0,48.0,0.003051881993896236
4482,California,2021-08-14,4217011,64224,13169.0,39.0,0.0029615004935834156
4483,California,2021-08-15,4227726,64251,10715.0,27.0,0.0025198320111992534
4484,California,2021-08-16,4241093,64264,13367.0,13.0,0.0009725443255779157
4485,California,2021-08-17,4256463,64334,15370.0,70.0,0.004554326610279766
4486,California,2021-08-18,4270300,64428,13837.0,94.0,0.006793380067933801
4487,California,2021-08-19,4285704,64550,15404.0,122.0,0.007920020773824981
4488,California,2021-08-20,4311097,64639,25393.0,89.0,0.0035049029260032292
4489,California,2021-08-21,4325109,64717,14012.0,78.0,0.005566657151013417
4490,California,2021-08-22,4334900,64738,9791.0,21.0,0.0021448268818302523
4491,California,2021-08-23,4348966,64760,14066.0,22.0,0.0015640551684913977
4492,California,2021-08-24,4362196,64858,13230.0,98.0,0.007407407407407408
4493,California,2021-08-25,4375428,64988,13232.0,130.0,0.009824667472793229
4494,California,2021-08-26,4390015,65100,14587.0,112.0,0.007678069513950778
4495,California,2021-08-27,4406309,65210,16294.0,110.0,0.006750951270406285
4496,California,2021-08-28,4420719,65311,14410.0,101.0,0.007009021512838306
4497,California,2021-08-29,4432070,65334,11351.0,23.0,0.002026253193551229
4498,California,2021-08-30,4444946,65370,12876.0,36.0,0.0027958993476234857
4499,California,2021-08-31,4469226,65502,24280.0,132.0,0.005436573311367381
4500,California,2021-09-01,4481115,65665,11889.0,163.0,0.013710152241567837
4501,California,2021-09-02,4493721,65793,12606.0,128.0,0.010153894970648898
4502,California,2021-09-03,4506261,65938,12540.0,145.0,0.011562998405103669
4503,California,2021-09-04,4517642,66042,11381.0,104.0,0.009138037079342765
4504,California,2021-09-05,4526109,66107,8467.0,65.0,0.0076768631156253694
4505,California,2021-09-06,4533368,66148,7259.0,41.0,0.005648160903705745
4506,California,2021-09-07,4544655,66185,11287.0,37.0,0.0032781075573668824
4507,California,2021-09-08,4553420,66372,8765.0,187.0,0.021334854535082715
4508,California,2021-09-09,4561319,66509,7899.0,137.0,0.017343967590834283
4509,California,2021-09-10,4577294,66733,15975.0,224.0,0.014021909233176838
4510,California,2021-09-11,4585780,66830,8486.0,97.0,0.011430591562573651
4511,California,2021-09-12,4592044,66844,6264.0,14.0,0.002234993614303959
4512,California,2021-09-13,4607538,66943,15494.0,99.0,0.0063895701561894926
4513,California,2021-09-14,4616620,67133,9082.0,190.0,0.02092050209205021
4514,California,2021-09-15,4625234,67323,8614.0,190.0,0.02205711632226608
4515,California,2021-09-16,4635554,67485,10320.0,162.0,0.015697674418604653
4516,California,2021-09-17,4645573,67609,10019.0,124.0,0.012376484679109692
4517,California,2021-09-18,4654111,67730,8538.0,121.0,0.01417193722183181
4518,California,2021-09-19,4659996,67765,5885.0,35.0,0.00594732370433305
4519,California,2021-09-20,4668534,67782,8538.0,17.0,0.001991098617943312
4520,California,2021-09-21,4676247,67911,7713.0,129.0,0.016725009723842863
4521,California,2021-09-22,4683721,68066,7474.0,155.0,0.020738560342520737
4522,California,2021-09-23,4691274,68219,7553.0,153.0,0.020256851582152787
4523,California,2021-09-24,4693929,68278,2655.0,59.0,0.022222222222222223
4524,California,2021-09-25,4695730,68311,1801.0,33.0,0.018323153803442533
4525,California,2021-09-26,4713371,68470,17641.0,159.0,0.009013094495776884
4526,California,2021-09-27,4720998,68545,7627.0,75.0,0.009833486298675757
4527,California,2021-09-28,4728240,68654,7242.0,109.0,0.015051090858878763
4528,California,2021-09-29,4734966,68806,6726.0,152.0,0.022598870056497175
4529,California,2021-09-30,4743464,68927,8498.0,121.0,0.014238644386914568
4530,California,2021-10-01,4746186,68960,2722.0,33.0,0.012123438648052902
4531,California,2021-10-02,4747783,68981,1597.0,21.0,0.013149655604257984
4532,California,2021-10-03,4762603,69150,14820.0,169.0,0.011403508771929825
4533,California,2021-10-04,4768127,69190,5524.0,40.0,0.00724112961622013
4534,California,2021-10-05,4774008,69317,5881.0,127.0,0.021594966842373747
4535,California,2021-10-06,4779505,69487,5497.0,170.0,0.030925959614335093
4536,California,2021-10-07,4786602,69650,7097.0,163.0,0.022967451035648866
4537,California,2021-10-08,4788863,69705,2261.0,55.0,0.024325519681556832
4538,California,2021-10-09,4790250,69732,1387.0,27.0,0.01946647440519106
