Unnamed: 0,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
4191,2021-12-11,5149826,75270,1966.0,23.0,0.011698880976602238
4192,2021-12-12,5162558,75275,12732.0,5.0,0.00039271127866792333
4193,2021-12-13,5168860,75378,6302.0,103.0,0.01634401777213583
4194,2021-12-14,5175234,75428,6374.0,50.0,0.007844367743959836
4195,2021-12-15,5181275,75517,6041.0,89.0,0.014732660155603377
4196,2021-12-16,5189368,75603,8093.0,86.0,0.01062646731743482
4197,2021-12-17,5194304,75679,4936.0,76.0,0.01539708265802269
4198,2021-12-18,5198261,75718,3957.0,39.0,0.009855951478392721
4199,2021-12-19,5215062,75727,16801.0,9.0,0.0005356823998571514
4200,2021-12-20,5225636,75826,10574.0,99.0,0.009362587478721393
4201,2021-12-21,5237529,75878,11893.0,52.0,0.00437231985201379
4202,2021-12-22,5253383,75958,15854.0,80.0,0.005046045162104201
4203,2021-12-23,5274281,76054,20898.0,96.0,0.004593741027849555
4204,2021-12-24,5287338,76126,13057.0,72.0,0.005514283526077966
4205,2021-12-25,5287989,76126,651.0,0.0,0.0
4206,2021-12-26,5310033,76139,22044.0,13.0,0.0005897296316457993
4207,2021-12-27,5358928,76175,48895.0,36.0,0.0007362716024133347
4208,2021-12-28,5388733,76255,29805.0,80.0,0.00268411340379131
4209,2021-12-29,5428745,76336,40012.0,81.0,0.0020243926821953413
4210,2021-12-30,5483646,76437,54901.0,101.0,0.0018396750514562577
