Unnamed: 0,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
35432,2021-12-12,4419318,74607,2590.0,29.0,0.011196911196911196
35433,2021-12-13,4423555,74632,4237.0,25.0,0.0059004012272834555
35434,2021-12-14,4428196,74707,4641.0,75.0,0.01616031027795734
35435,2021-12-15,4433142,74796,4946.0,89.0,0.017994338859684593
35436,2021-12-16,4438877,74897,5735.0,101.0,0.01761115954664342
35437,2021-12-17,4444868,74992,5991.0,95.0,0.01585711901185111
35438,2021-12-18,4452931,75056,8063.0,64.0,0.007937492248542725
35439,2021-12-19,4460356,75077,7425.0,21.0,0.0028282828282828283
35440,2021-12-20,4470968,75099,10612.0,22.0,0.0020731247644176403
35441,2021-12-21,4481333,75156,10365.0,57.0,0.005499276410998553
35442,2021-12-22,4491454,75238,10121.0,82.0,0.008101966208872642
35443,2021-12-23,4503930,75322,12476.0,84.0,0.006732927220262905
35444,2021-12-24,4517701,75322,13771.0,0.0,0.0
35445,2021-12-25,4533037,75322,15336.0,0.0,0.0
35446,2021-12-26,4545596,75322,12559.0,0.0,0.0
35447,2021-12-27,4562927,75485,17331.0,163.0,0.009405112226645895
35448,2021-12-28,4577722,75561,14795.0,76.0,0.005136870564379858
35449,2021-12-29,4592008,75639,14286.0,78.0,0.005459890802183957
35450,2021-12-30,4607608,75744,15600.0,105.0,0.006730769230769231
