location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-05-08,1 wk ahead cum death,2022-05-14,US,quantile,0.01,1004410.6697221126
US,2022-05-08,2 wk ahead cum death,2022-05-21,US,quantile,0.01,1011373.5737434849
US,2022-05-08,3 wk ahead cum death,2022-05-28,US,quantile,0.01,1018389.4094901832
US,2022-05-08,4 wk ahead cum death,2022-06-04,US,quantile,0.01,1025454.432003802
US,2022-05-08,5 wk ahead cum death,2022-06-11,US,quantile,0.01,1032564.9627593278
US,2022-05-08,6 wk ahead cum death,2022-06-18,US,quantile,0.01,1039587.359348822
US,2022-05-08,7 wk ahead cum death,2022-06-25,US,quantile,0.01,1046581.2114791787
US,2022-05-08,8 wk ahead cum death,2022-07-02,US,quantile,0.01,1053565.439283677
US,2022-05-08,9 wk ahead cum death,2022-07-09,US,quantile,0.01,1060538.9059181395
US,2022-05-08,10 wk ahead cum death,2022-07-16,US,quantile,0.01,1067500.5833321968
US,2022-05-08,11 wk ahead cum death,2022-07-23,US,quantile,0.01,1074449.554593942
US,2022-05-08,12 wk ahead cum death,2022-07-30,US,quantile,0.01,1081384.9956479797
US,2022-05-08,13 wk ahead cum death,2022-08-06,US,quantile,0.01,1088306.1661142553
US,2022-05-08,14 wk ahead cum death,2022-08-13,US,quantile,0.01,1095212.4101350182
US,2022-05-08,1 wk ahead inc death,2022-05-14,US,quantile,0.01,6907.669722112641
US,2022-05-08,2 wk ahead inc death,2022-05-21,US,quantile,0.01,6962.904021372274
US,2022-05-08,3 wk ahead inc death,2022-05-28,US,quantile,0.01,7015.835746698305
US,2022-05-08,4 wk ahead inc death,2022-06-04,US,quantile,0.01,7014.5641641281545
US,2022-05-08,5 wk ahead inc death,2022-06-11,US,quantile,0.01,7009.163784411922
US,2022-05-08,6 wk ahead inc death,2022-06-18,US,quantile,0.01,7002.208401697725
US,2022-05-08,7 wk ahead inc death,2022-06-25,US,quantile,0.01,6993.852130356655
US,2022-05-08,8 wk ahead inc death,2022-07-02,US,quantile,0.01,6984.227804498077
US,2022-05-08,9 wk ahead inc death,2022-07-09,US,quantile,0.01,6973.466634462699
US,2022-05-08,10 wk ahead inc death,2022-07-16,US,quantile,0.01,6961.677414057329
US,2022-05-08,11 wk ahead inc death,2022-07-23,US,quantile,0.01,6948.971261744946
US,2022-05-08,12 wk ahead inc death,2022-07-30,US,quantile,0.01,6935.441054037959
US,2022-05-08,13 wk ahead inc death,2022-08-06,US,quantile,0.01,6921.170466275587
US,2022-05-08,14 wk ahead inc death,2022-08-13,US,quantile,0.01,6906.244020762891
US,2022-05-08,1 wk ahead cum death,2022-05-14,US,quantile,0.025,1004653.6201561991
US,2022-05-08,2 wk ahead cum death,2022-05-21,US,quantile,0.025,1011834.2947861332
US,2022-05-08,3 wk ahead cum death,2022-05-28,US,quantile,0.025,1019039.8655936916
US,2022-05-08,4 wk ahead cum death,2022-06-04,US,quantile,0.025,1026264.8902090598
