location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-03-20,1 wk ahead cum death,2022-03-26,US,quantile,0.01,974652.81888217
US,2022-03-20,2 wk ahead cum death,2022-04-02,US,quantile,0.01,978748.1180877431
US,2022-03-20,3 wk ahead cum death,2022-04-09,US,quantile,0.01,983464.1027227887
US,2022-03-20,4 wk ahead cum death,2022-04-16,US,quantile,0.01,988627.4121954689
US,2022-03-20,5 wk ahead cum death,2022-04-23,US,quantile,0.01,994110.1347663057
US,2022-03-20,6 wk ahead cum death,2022-04-30,US,quantile,0.01,999821.1848411624
US,2022-03-20,7 wk ahead cum death,2022-05-07,US,quantile,0.01,1005695.508416711
US,2022-03-20,8 wk ahead cum death,2022-05-14,US,quantile,0.01,1011686.4690143286
US,2022-03-20,9 wk ahead cum death,2022-05-21,US,quantile,0.01,1017760.4761264112
US,2022-03-20,10 wk ahead cum death,2022-05-28,US,quantile,0.01,1023893.2016065716
US,2022-03-20,11 wk ahead cum death,2022-06-04,US,quantile,0.01,1030066.8872565523
US,2022-03-20,12 wk ahead cum death,2022-06-11,US,quantile,0.01,1036179.7581626519
US,2022-03-20,13 wk ahead cum death,2022-06-18,US,quantile,0.01,1042278.3341046224
US,2022-03-20,14 wk ahead cum death,2022-06-25,US,quantile,0.01,1048368.5477393203
US,2022-03-20,1 wk ahead inc death,2022-03-26,US,quantile,0.01,3565.81888217004
US,2022-03-20,2 wk ahead inc death,2022-04-02,US,quantile,0.01,4095.2992055730197
US,2022-03-20,3 wk ahead inc death,2022-04-09,US,quantile,0.01,4715.984635045626
US,2022-03-20,4 wk ahead inc death,2022-04-16,US,quantile,0.01,5163.309472680274
US,2022-03-20,5 wk ahead inc death,2022-04-23,US,quantile,0.01,5482.722570836698
US,2022-03-20,6 wk ahead inc death,2022-04-30,US,quantile,0.01,5711.05007485677
US,2022-03-20,7 wk ahead inc death,2022-05-07,US,quantile,0.01,5874.3235755486085
US,2022-03-20,8 wk ahead inc death,2022-05-14,US,quantile,0.01,5973.635877348506
US,2022-03-20,9 wk ahead inc death,2022-05-21,US,quantile,0.01,6035.793490847568
