location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-04-10,1 wk ahead cum death,2022-04-16,US,quantile,0.01,989470.6287997381
US,2022-04-10,2 wk ahead cum death,2022-04-23,US,quantile,0.01,994017.6564504358
US,2022-04-10,3 wk ahead cum death,2022-04-30,US,quantile,0.01,999130.841375804
US,2022-04-10,4 wk ahead cum death,2022-05-07,US,quantile,0.01,1004651.5302998949
US,2022-04-10,5 wk ahead cum death,2022-05-14,US,quantile,0.01,1010463.6995098947
US,2022-04-10,6 wk ahead cum death,2022-05-21,US,quantile,0.01,1016484.6926160131
US,2022-04-10,7 wk ahead cum death,2022-05-28,US,quantile,0.01,1022655.4276052086
US,2022-04-10,8 wk ahead cum death,2022-06-04,US,quantile,0.01,1028933.5127355382
US,2022-04-10,9 wk ahead cum death,2022-06-11,US,quantile,0.01,1035288.3668545288
US,2022-04-10,10 wk ahead cum death,2022-06-18,US,quantile,0.01,1041697.8060905052
US,2022-04-10,11 wk ahead cum death,2022-06-25,US,quantile,0.01,1048145.591585433
US,2022-04-10,12 wk ahead cum death,2022-07-02,US,quantile,0.01,1054619.7477159344
US,2022-04-10,13 wk ahead cum death,2022-07-09,US,quantile,0.01,1061111.3260131131
US,2022-04-10,14 wk ahead cum death,2022-07-16,US,quantile,0.01,1067537.9242708308
US,2022-04-10,1 wk ahead inc death,2022-04-16,US,quantile,0.01,3988.6287997380737
US,2022-04-10,2 wk ahead inc death,2022-04-23,US,quantile,0.01,4547.027650697678
US,2022-04-10,3 wk ahead inc death,2022-04-30,US,quantile,0.01,5113.184925368284
US,2022-04-10,4 wk ahead inc death,2022-05-07,US,quantile,0.01,5520.688924090839
US,2022-04-10,5 wk ahead inc death,2022-05-14,US,quantile,0.01,5812.169209999861
US,2022-04-10,6 wk ahead inc death,2022-05-21,US,quantile,0.01,6020.993106118375
US,2022-04-10,7 wk ahead inc death,2022-05-28,US,quantile,0.01,6170.734989195513
US,2022-04-10,8 wk ahead inc death,2022-06-04,US,quantile,0.01,6278.085130329617
US,2022-04-10,9 wk ahead inc death,2022-06-11,US,quantile,0.01,6333.339714345783
US,2022-04-10,10 wk ahead inc death,2022-06-18,US,quantile,0.01,6365.117209458482
US,2022-04-10,11 wk ahead inc death,2022-06-25,US,quantile,0.01,6381.137329669045
US,2022-04-10,12 wk ahead inc death,2022-07-02,US,quantile,0.01,6385.942746119947
US,2022-04-10,13 wk ahead inc death,2022-07-09,US,quantile,0.01,6382.756689927056
US,2022-04-10,14 wk ahead inc death,2022-07-16,US,quantile,0.01,6373.859114947142
US,2022-04-10,1 wk ahead cum death,2022-04-16,US,quantile,0.025,989504.3789244462
US,2022-04-10,2 wk ahead cum death,2022-04-23,US,quantile,0.025,994128.2545363477
US,2022-04-10,3 wk ahead cum death,2022-04-30,US,quantile,0.025,999332.2113964482
US,2022-04-10,4 wk ahead cum death,2022-05-07,US,quantile,0.025,1004943.7360935138
US,2022-04-10,5 wk ahead cum death,2022-05-14,US,quantile,0.025,1010837.6645456426
US,2022-04-10,6 wk ahead cum death,2022-05-21,US,quantile,0.025,1016925.3917138017
US,2022-04-10,7 wk ahead cum death,2022-05-28,US,quantile,0.025,1023144.1508668386
US,2022-04-10,8 wk ahead cum death,2022-06-04,US,quantile,0.025,1029458.9449051943
US,2022-04-10,9 wk ahead cum death,2022-06-11,US,quantile,0.025,1035832.9395343993
US,2022-04-10,10 wk ahead cum death,2022-06-18,US,quantile,0.025,1042240.9825893642
US,2022-04-10,11 wk ahead cum death,2022-06-25,US,quantile,0.025,1048666.5970839886
US,2022-04-10,12 wk ahead cum death,2022-07-02,US,quantile,0.025,1055097.9297829657
US,2022-04-10,13 wk ahead cum death,2022-07-09,US,quantile,0.025,1061526.4379208991
US,2022-04-10,14 wk ahead cum death,2022-07-16,US,quantile,0.025,1067945.9327476243
US,2022-04-10,1 wk ahead inc death,2022-04-16,US,quantile,0.025,4022.3789244461805
US,2022-04-10,2 wk ahead inc death,2022-04-23,US,quantile,0.025,4623.875611901516
US,2022-04-10,3 wk ahead inc death,2022-04-30,US,quantile,0.025,5203.956860100525
US,2022-04-10,4 wk ahead inc death,2022-05-07,US,quantile,0.025,5611.524697065563
US,2022-04-10,5 wk ahead inc death,2022-05-14,US,quantile,0.025,5896.342994187097
US,2022-04-10,6 wk ahead inc death,2022-05-21,US,quantile,0.025,6093.661342214211
US,2022-04-10,7 wk ahead inc death,2022-05-28,US,quantile,0.025,6227.818384954124
US,2022-04-10,8 wk ahead inc death,2022-06-04,US,quantile,0.025,6316.966462309659
US,2022-04-10,9 wk ahead inc death,2022-06-11,US,quantile,0.025,6378.893446078966
US,2022-04-10,10 wk ahead inc death,2022-06-18,US,quantile,0.025,6431.1658401371915
US,2022-04-10,11 wk ahead inc death,2022-06-25,US,quantile,0.025,6467.015050015366
US,2022-04-10,12 wk ahead inc death,2022-07-02,US,quantile,0.025,6490.785954407836
US,2022-04-10,13 wk ahead inc death,2022-07-09,US,quantile,0.025,6505.569041470345
US,2022-04-10,14 wk ahead inc death,2022-07-16,US,quantile,0.025,6513.606403427618
US,2022-04-10,1 wk ahead cum death,2022-04-16,US,quantile,0.05,989533.4987465177
US,2022-04-10,2 wk ahead cum death,2022-04-23,US,quantile,0.05,994253.115495671
US,2022-04-10,3 wk ahead cum death,2022-04-30,US,quantile,0.05,999615.054647134
US,2022-04-10,4 wk ahead cum death,2022-05-07,US,quantile,0.05,1005442.1782985397
US,2022-04-10,5 wk ahead cum death,2022-05-14,US,quantile,0.05,1011597.4895370658
US,2022-04-10,6 wk ahead cum death,2022-05-21,US,quantile,0.05,1017952.2992219457
US,2022-04-10,7 wk ahead cum death,2022-05-28,US,quantile,0.05,1024441.1428531145
US,2022-04-10,8 wk ahead cum death,2022-06-04,US,quantile,0.05,1031025.746355895
US,2022-04-10,9 wk ahead cum death,2022-06-11,US,quantile,0.05,1037671.3753577897
US,2022-04-10,10 wk ahead cum death,2022-06-18,US,quantile,0.05,1044353.2689067947
