location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-05-01,1 wk ahead cum death,2022-05-07,US,quantile,0.01,996675.0028147432
US,2022-05-01,2 wk ahead cum death,2022-05-14,US,quantile,0.01,1000767.7211314593
US,2022-05-01,3 wk ahead cum death,2022-05-21,US,quantile,0.01,1005700.0625617706
US,2022-05-01,4 wk ahead cum death,2022-05-28,US,quantile,0.01,1011230.0491305877
US,2022-05-01,5 wk ahead cum death,2022-06-04,US,quantile,0.01,1017185.5204627783
US,2022-05-01,6 wk ahead cum death,2022-06-11,US,quantile,0.01,1023444.3092930856
US,2022-05-01,7 wk ahead cum death,2022-06-18,US,quantile,0.01,1029919.5187954068
US,2022-05-01,8 wk ahead cum death,2022-06-25,US,quantile,0.01,1036549.1925128906
US,2022-05-01,9 wk ahead cum death,2022-07-02,US,quantile,0.01,1043288.9791189401
US,2022-05-01,10 wk ahead cum death,2022-07-09,US,quantile,0.01,1050107.01698351
US,2022-05-01,11 wk ahead cum death,2022-07-16,US,quantile,0.01,1056980.2561386183
US,2022-05-01,12 wk ahead cum death,2022-07-23,US,quantile,0.01,1063891.9390683882
US,2022-05-01,13 wk ahead cum death,2022-07-30,US,quantile,0.01,1070808.872221659
US,2022-05-01,14 wk ahead cum death,2022-08-06,US,quantile,0.01,1077627.5930347764
US,2022-05-01,1 wk ahead inc death,2022-05-07,US,quantile,0.01,2963.0028147432163
US,2022-05-01,2 wk ahead inc death,2022-05-14,US,quantile,0.01,4092.7183167161047
US,2022-05-01,3 wk ahead inc death,2022-05-21,US,quantile,0.01,4932.341430311208
US,2022-05-01,4 wk ahead inc death,2022-05-28,US,quantile,0.01,5529.9865688171985
US,2022-05-01,5 wk ahead inc death,2022-06-04,US,quantile,0.01,5955.471332190503
US,2022-05-01,6 wk ahead inc death,2022-06-11,US,quantile,0.01,6258.788830307391
US,2022-05-01,7 wk ahead inc death,2022-06-18,US,quantile,0.01,6475.209502321141
US,2022-05-01,8 wk ahead inc death,2022-06-25,US,quantile,0.01,6624.6168173145925
US,2022-05-01,9 wk ahead inc death,2022-07-02,US,quantile,0.01,6711.751477695061
US,2022-05-01,10 wk ahead inc death,2022-07-09,US,quantile,0.01,6767.0232103997705
US,2022-05-01,11 wk ahead inc death,2022-07-16,US,quantile,0.01,6799.698272548085
US,2022-05-01,12 wk ahead inc death,2022-07-23,US,quantile,0.01,6816.338434031876
US,2022-05-01,13 wk ahead inc death,2022-07-30,US,quantile,0.01,6821.58508901597
US,2022-05-01,14 wk ahead inc death,2022-08-06,US,quantile,0.01,6818.720813117568
US,2022-05-01,1 wk ahead cum death,2022-05-07,US,quantile,0.025,996708.2546829989
US,2022-05-01,2 wk ahead cum death,2022-05-14,US,quantile,0.025,1000876.824364609
