location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-02-27,1 wk ahead cum death,2022-03-05,US,quantile,0.01,958972.0465705286
US,2022-02-27,2 wk ahead cum death,2022-03-12,US,quantile,0.01,967521.1129458437
US,2022-02-27,3 wk ahead cum death,2022-03-19,US,quantile,0.01,975063.8359838044
US,2022-02-27,4 wk ahead cum death,2022-03-26,US,quantile,0.01,981913.1195872638
US,2022-02-27,5 wk ahead cum death,2022-04-02,US,quantile,0.01,988277.7235772865
US,2022-02-27,6 wk ahead cum death,2022-04-09,US,quantile,0.01,994303.761423705
US,2022-02-27,7 wk ahead cum death,2022-04-16,US,quantile,0.01,1000093.3008067705
US,2022-02-27,8 wk ahead cum death,2022-04-23,US,quantile,0.01,1005717.444071155
US,2022-02-27,9 wk ahead cum death,2022-04-30,US,quantile,0.01,1011225.5556002635
US,2022-02-27,10 wk ahead cum death,2022-05-07,US,quantile,0.01,1016651.7478374946
US,2022-02-27,11 wk ahead cum death,2022-05-14,US,quantile,0.01,1022019.4418498281
US,2022-02-27,12 wk ahead cum death,2022-05-21,US,quantile,0.01,1027268.5871910483
US,2022-02-27,13 wk ahead cum death,2022-05-28,US,quantile,0.01,1032440.148995051
US,2022-02-27,14 wk ahead cum death,2022-06-04,US,quantile,0.01,1037568.3294988663
US,2022-02-27,1 wk ahead inc death,2022-03-05,US,quantile,0.01,10757.046570528624
US,2022-02-27,2 wk ahead inc death,2022-03-12,US,quantile,0.01,8549.066375315064
US,2022-02-27,3 wk ahead inc death,2022-03-19,US,quantile,0.01,7542.723037960785
US,2022-02-27,4 wk ahead inc death,2022-03-26,US,quantile,0.01,6849.283603459308
US,2022-02-27,5 wk ahead inc death,2022-04-02,US,quantile,0.01,6364.603990022689
US,2022-02-27,6 wk ahead inc death,2022-04-09,US,quantile,0.01,6026.037846418508
US,2022-02-27,7 wk ahead inc death,2022-04-16,US,quantile,0.01,5789.539383065454
US,2022-02-27,8 wk ahead inc death,2022-04-23,US,quantile,0.01,5605.4399430524745
US,2022-02-27,9 wk ahead inc death,2022-04-30,US,quantile,0.01,5468.316185597238
US,2022-02-27,10 wk ahead inc death,2022-05-07,US,quantile,0.01,5365.190638167294
US,2022-02-27,11 wk ahead inc death,2022-05-14,US,quantile,0.01,5285.792417812422
US,2022-02-27,12 wk ahead inc death,2022-05-21,US,quantile,0.01,5222.926746216137
US,2022-02-27,13 wk ahead inc death,2022-05-28,US,quantile,0.01,5171.561804002728
US,2022-02-27,14 wk ahead inc death,2022-06-04,US,quantile,0.01,5128.180503815301
US,2022-02-27,1 wk ahead cum death,2022-03-05,US,quantile,0.025,959006.8765225175
US,2022-02-27,2 wk ahead cum death,2022-03-12,US,quantile,0.025,967634.8877263587
US,2022-02-27,3 wk ahead cum death,2022-03-19,US,quantile,0.025,975270.5968389662
US,2022-02-27,4 wk ahead cum death,2022-03-26,US,quantile,0.025,982212.8270446948
US,2022-02-27,5 wk ahead cum death,2022-04-02,US,quantile,0.025,988661.1462653596
US,2022-02-27,6 wk ahead cum death,2022-04-09,US,quantile,0.025,994755.7911961264
US,2022-02-27,7 wk ahead cum death,2022-04-16,US,quantile,0.025,1000595.2669759017
US,2022-02-27,8 wk ahead cum death,2022-04-23,US,quantile,0.025,1006248.7264834703
US,2022-02-27,9 wk ahead cum death,2022-04-30,US,quantile,0.025,1011764.6768270925
US,2022-02-27,10 wk ahead cum death,2022-05-07,US,quantile,0.025,1017177.1280678067
US,2022-02-27,11 wk ahead cum death,2022-05-14,US,quantile,0.025,1022509.8989401483
US,2022-02-27,12 wk ahead cum death,2022-05-21,US,quantile,0.025,1027794.446534575
US,2022-02-27,13 wk ahead cum death,2022-05-28,US,quantile,0.025,1033039.2117643998
US,2022-02-27,14 wk ahead cum death,2022-06-04,US,quantile,0.025,1038244.8143636847
US,2022-02-27,1 wk ahead inc death,2022-03-05,US,quantile,0.025,10791.876522517483
US,2022-02-27,2 wk ahead inc death,2022-03-12,US,quantile,0.025,8628.011203841259
US,2022-02-27,3 wk ahead inc death,2022-03-19,US,quantile,0.025,7635.709112607501
US,2022-02-27,4 wk ahead inc death,2022-03-26,US,quantile,0.025,6942.230205728532
US,2022-02-27,5 wk ahead inc death,2022-04-02,US,quantile,0.025,6448.319220664771
US,2022-02-27,6 wk ahead inc death,2022-04-09,US,quantile,0.025,6094.644930766872
US,2022-02-27,7 wk ahead inc death,2022-04-16,US,quantile,0.025,5839.475779775251
US,2022-02-27,8 wk ahead inc death,2022-04-23,US,quantile,0.025,5657.407800472365
US,2022-02-27,9 wk ahead inc death,2022-04-30,US,quantile,0.025,5529.756647873413
US,2022-02-27,10 wk ahead inc death,2022-05-07,US,quantile,0.025,5445.210414488613
US,2022-02-27,11 wk ahead inc death,2022-05-14,US,quantile,0.025,5384.035241286736
US,2022-02-27,12 wk ahead inc death,2022-05-21,US,quantile,0.025,5338.8342088829495
US,2022-02-27,13 wk ahead inc death,2022-05-28,US,quantile,0.025,5304.438946212642
US,2022-02-27,14 wk ahead inc death,2022-06-04,US,quantile,0.025,5277.260167807899
US,2022-02-27,1 wk ahead cum death,2022-03-05,US,quantile,0.05,959028.6274155496
US,2022-02-27,2 wk ahead cum death,2022-03-12,US,quantile,0.05,967733.8043809542
US,2022-02-27,3 wk ahead cum death,2022-03-19,US,quantile,0.05,975500.2937487037
US,2022-02-27,4 wk ahead cum death,2022-03-26,US,quantile,0.05,982619.5142261744
US,2022-02-27,5 wk ahead cum death,2022-04-02,US,quantile,0.05,989289.3236883014
US,2022-02-27,6 wk ahead cum death,2022-04-09,US,quantile,0.05,995641.0025495888
US,2022-02-27,7 wk ahead cum death,2022-04-16,US,quantile,0.05,1001768.339924551
US,2022-02-27,8 wk ahead cum death,2022-04-23,US,quantile,0.05,1007719.1374637958
US,2022-02-27,9 wk ahead cum death,2022-04-30,US,quantile,0.05,1013519.600683331
US,2022-02-27,10 wk ahead cum death,2022-05-07,US,quantile,0.05,1019203.865523824
US,2022-02-27,11 wk ahead cum death,2022-05-14,US,quantile,0.05,1024826.2220710006
US,2022-02-27,12 wk ahead cum death,2022-05-21,US,quantile,0.05,1030416.1165777466
US,2022-02-27,13 wk ahead cum death,2022-05-28,US,quantile,0.05,1035962.4517034574
