location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-03-27,1 wk ahead cum death,2022-04-02,US,quantile,0.01,983103.7272345383
US,2022-03-27,2 wk ahead cum death,2022-04-09,US,quantile,0.01,990485.2510796193
US,2022-03-27,3 wk ahead cum death,2022-04-16,US,quantile,0.01,998141.2370861992
US,2022-03-27,4 wk ahead cum death,2022-04-23,US,quantile,0.01,1005988.2499480464
US,2022-03-27,5 wk ahead cum death,2022-04-30,US,quantile,0.01,1013974.1234827957
US,2022-03-27,6 wk ahead cum death,2022-05-07,US,quantile,0.01,1022061.1713479141
US,2022-03-27,7 wk ahead cum death,2022-05-14,US,quantile,0.01,1030221.9800280652
US,2022-03-27,8 wk ahead cum death,2022-05-21,US,quantile,0.01,1038436.4503008231
US,2022-03-27,9 wk ahead cum death,2022-05-28,US,quantile,0.01,1046689.6977681099
US,2022-03-27,10 wk ahead cum death,2022-06-04,US,quantile,0.01,1054970.5841240236
US,2022-03-27,11 wk ahead cum death,2022-06-11,US,quantile,0.01,1063270.6480012313
US,2022-03-27,12 wk ahead cum death,2022-06-18,US,quantile,0.01,1071583.3849428126
US,2022-03-27,13 wk ahead cum death,2022-06-25,US,quantile,0.01,1079903.7003751793
US,2022-03-27,14 wk ahead cum death,2022-07-02,US,quantile,0.01,1088130.2347431735
US,2022-03-27,1 wk ahead inc death,2022-04-02,US,quantile,0.01,6451.727234538346
US,2022-03-27,2 wk ahead inc death,2022-04-09,US,quantile,0.01,7381.523845080938
US,2022-03-27,3 wk ahead inc death,2022-04-16,US,quantile,0.01,7655.986006579898
US,2022-03-27,4 wk ahead inc death,2022-04-23,US,quantile,0.01,7847.0128618472345
US,2022-03-27,5 wk ahead inc death,2022-04-30,US,quantile,0.01,7985.873534749225
US,2022-03-27,6 wk ahead inc death,2022-05-07,US,quantile,0.01,8087.0478651185285
US,2022-03-27,7 wk ahead inc death,2022-05-14,US,quantile,0.01,8160.808680150942
US,2022-03-27,8 wk ahead inc death,2022-05-21,US,quantile,0.01,8214.470272757937
US,2022-03-27,9 wk ahead inc death,2022-05-28,US,quantile,0.01,8234.928752260674
US,2022-03-27,10 wk ahead inc death,2022-06-04,US,quantile,0.01,8241.42964903227
US,2022-03-27,11 wk ahead inc death,2022-06-11,US,quantile,0.01,8238.836321943496
US,2022-03-27,12 wk ahead inc death,2022-06-18,US,quantile,0.01,8230.187297993274
US,2022-03-27,13 wk ahead inc death,2022-06-25,US,quantile,0.01,8217.427124080165
US,2022-03-27,14 wk ahead inc death,2022-07-02,US,quantile,0.01,8201.693357267408
US,2022-03-27,1 wk ahead cum death,2022-04-02,US,quantile,0.025,983137.9144714113
US,2022-03-27,2 wk ahead cum death,2022-04-09,US,quantile,0.025,990597.2201813458
US,2022-03-27,3 wk ahead cum death,2022-04-16,US,quantile,0.025,998345.0590058829
US,2022-03-27,4 wk ahead cum death,2022-04-23,US,quantile,0.025,1006284.0109889418
US,2022-03-27,5 wk ahead cum death,2022-04-30,US,quantile,0.025,1014352.7114480807
US,2022-03-27,6 wk ahead cum death,2022-05-07,US,quantile,0.025,1022507.517045407
US,2022-03-27,7 wk ahead cum death,2022-05-14,US,quantile,0.025,1030717.3446377902
US,2022-03-27,8 wk ahead cum death,2022-05-21,US,quantile,0.025,1038960.0111526981
US,2022-03-27,9 wk ahead cum death,2022-05-28,US,quantile,0.025,1047219.6450924933
US,2022-03-27,10 wk ahead cum death,2022-06-04,US,quantile,0.025,1055484.8735777207
US,2022-03-27,11 wk ahead cum death,2022-06-11,US,quantile,0.025,1063747.5163718401
US,2022-03-27,12 wk ahead cum death,2022-06-18,US,quantile,0.025,1072001.6748982775
US,2022-03-27,13 wk ahead cum death,2022-06-25,US,quantile,0.025,1080243.0876000547
US,2022-03-27,14 wk ahead cum death,2022-07-02,US,quantile,0.025,1088496.4643788992
US,2022-03-27,1 wk ahead inc death,2022-04-02,US,quantile,0.025,6485.914471411309
US,2022-03-27,2 wk ahead inc death,2022-04-09,US,quantile,0.025,7459.305709934468
US,2022-03-27,3 wk ahead inc death,2022-04-16,US,quantile,0.025,7747.838824537117
US,2022-03-27,4 wk ahead inc death,2022-04-23,US,quantile,0.025,7938.951983058918
US,2022-03-27,5 wk ahead inc death,2022-04-30,US,quantile,0.025,8068.700459138886
US,2022-03-27,6 wk ahead inc death,2022-05-07,US,quantile,0.025,8154.805597326229
US,2022-03-27,7 wk ahead inc death,2022-05-14,US,quantile,0.025,8209.827592383303
US,2022-03-27,8 wk ahead inc death,2022-05-21,US,quantile,0.025,8242.666514907894
US,2022-03-27,9 wk ahead inc death,2022-05-28,US,quantile,0.025,8274.261284270906
US,2022-03-27,10 wk ahead inc death,2022-06-04,US,quantile,0.025,8299.241823202488
US,2022-03-27,11 wk ahead inc death,2022-06-11,US,quantile,0.025,8315.884146523289
US,2022-03-27,12 wk ahead inc death,2022-06-18,US,quantile,0.025,8325.94082520958
US,2022-03-27,13 wk ahead inc death,2022-06-25,US,quantile,0.025,8330.880795939267
US,2022-03-27,14 wk ahead inc death,2022-07-02,US,quantile,0.025,8331.800605510081
US,2022-03-27,1 wk ahead cum death,2022-04-02,US,quantile,0.05,983164.3716166662
US,2022-03-27,2 wk ahead cum death,2022-04-09,US,quantile,0.05,990712.4764514356
US,2022-03-27,3 wk ahead cum death,2022-04-16,US,quantile,0.05,998606.6378868138
US,2022-03-27,4 wk ahead cum death,2022-04-23,US,quantile,0.05,1006747.5682526943
US,2022-03-27,5 wk ahead cum death,2022-04-30,US,quantile,0.05,1015062.2428141716
US,2022-03-27,6 wk ahead cum death,2022-05-07,US,quantile,0.05,1023500.6375940125
US,2022-03-27,7 wk ahead cum death,2022-05-14,US,quantile,0.05,1031989.187534154
US,2022-03-27,8 wk ahead cum death,2022-05-21,US,quantile,0.05,1040505.6157345568
US,2022-03-27,9 wk ahead cum death,2022-05-28,US,quantile,0.05,1049044.9336250268
US,2022-03-27,10 wk ahead cum death,2022-06-04,US,quantile,0.05,1057593.5159577252
US,2022-03-27,11 wk ahead cum death,2022-06-11,US,quantile,0.05,1066141.527586917
US,2022-03-27,12 wk ahead cum death,2022-06-18,US,quantile,0.05,1074681.8538180413
US,2022-03-27,13 wk ahead cum death,2022-06-25,US,quantile,0.05,1083236.9942570354
US,2022-03-27,14 wk ahead cum death,2022-07-02,US,quantile,0.05,1091801.8767710875
US,2022-03-27,1 wk ahead inc death,2022-04-02,US,quantile,0.05,6512.371616666182
US,2022-03-27,2 wk ahead inc death,2022-04-09,US,quantile,0.05,7549.48166272731
US,2022-03-27,3 wk ahead inc death,2022-04-16,US,quantile,0.05,7898.001963123609
US,2022-03-27,4 wk ahead inc death,2022-04-23,US,quantile,0.05,8140.983059034659
US,2022-03-27,5 wk ahead inc death,2022-04-30,US,quantile,0.05,8301.183171110088
US,2022-03-27,6 wk ahead inc death,2022-05-07,US,quantile,0.05,8406.353305470828
US,2022-03-27,7 wk ahead inc death,2022-05-14,US,quantile,0.05,8474.597189124674
US,2022-03-27,8 wk ahead inc death,2022-05-21,US,quantile,0.05,8519.030271097483
US,2022-03-27,9 wk ahead inc death,2022-05-28,US,quantile,0.05,8550.674875340168
US,2022-03-27,10 wk ahead inc death,2022-06-04,US,quantile,0.05,8570.265928785875
US,2022-03-27,11 wk ahead inc death,2022-06-11,US,quantile,0.05,8583.129601949127
US,2022-03-27,12 wk ahead inc death,2022-06-18,US,quantile,0.05,8588.545844714808
US,2022-03-27,13 wk ahead inc death,2022-06-25,US,quantile,0.05,8588.317748818128
US,2022-03-27,14 wk ahead inc death,2022-07-02,US,quantile,0.05,8583.7716647489
US,2022-03-27,1 wk ahead cum death,2022-04-02,US,quantile,0.1,983203.8811446602
US,2022-03-27,2 wk ahead cum death,2022-04-09,US,quantile,0.1,990865.3473202995
US,2022-03-27,3 wk ahead cum death,2022-04-16,US,quantile,0.1,998917.7581688206
US,2022-03-27,4 wk ahead cum death,2022-04-23,US,quantile,0.1,1007265.9892881961
US,2022-03-27,5 wk ahead cum death,2022-04-30,US,quantile,0.1,1015821.3170205331
US,2022-03-27,6 wk ahead cum death,2022-05-07,US,quantile,0.1,1024525.9667738909
US,2022-03-27,7 wk ahead cum death,2022-05-14,US,quantile,0.1,1033338.3969599768
US,2022-03-27,8 wk ahead cum death,2022-05-21,US,quantile,0.1,1042228.1984212562
US,2022-03-27,9 wk ahead cum death,2022-05-28,US,quantile,0.1,1051162.6061420357
US,2022-03-27,10 wk ahead cum death,2022-06-04,US,quantile,0.1,1060113.6406536018
US,2022-03-27,11 wk ahead cum death,2022-06-11,US,quantile,0.1,1069126.9090231943
US,2022-03-27,12 wk ahead cum death,2022-06-18,US,quantile,0.1,1078150.4399666002
US,2022-03-27,13 wk ahead cum death,2022-06-25,US,quantile,0.1,1087148.5566839685
US,2022-03-27,14 wk ahead cum death,2022-07-02,US,quantile,0.1,1096137.5500015172
US,2022-03-27,1 wk ahead inc death,2022-04-02,US,quantile,0.1,6551.881144660199
US,2022-03-27,2 wk ahead inc death,2022-04-09,US,quantile,0.1,7661.466175639257
US,2022-03-27,3 wk ahead inc death,2022-04-16,US,quantile,0.1,8063.42184997357
US,2022-03-27,4 wk ahead inc death,2022-04-23,US,quantile,0.1,8348.91039690033
US,2022-03-27,5 wk ahead inc death,2022-04-30,US,quantile,0.1,8555.327732337033
US,2022-03-27,6 wk ahead inc death,2022-05-07,US,quantile,0.1,8701.456664217403
US,2022-03-27,7 wk ahead inc death,2022-05-14,US,quantile,0.1,8809.105673075072
US,2022-03-27,8 wk ahead inc death,2022-05-21,US,quantile,0.1,8882.143207180034
US,2022-03-27,9 wk ahead inc death,2022-05-28,US,quantile,0.1,8930.279566067295
US,2022-03-27,10 wk ahead inc death,2022-06-04,US,quantile,0.1,8961.715669920575
US,2022-03-27,11 wk ahead inc death,2022-06-11,US,quantile,0.1,8980.662069833837
US,2022-03-27,12 wk ahead inc death,2022-06-18,US,quantile,0.1,8987.834325933456
US,2022-03-27,13 wk ahead inc death,2022-06-25,US,quantile,0.1,8985.412513027806
US,2022-03-27,14 wk ahead inc death,2022-07-02,US,quantile,0.1,8977.53719193479
US,2022-03-27,1 wk ahead cum death,2022-04-02,US,quantile,0.15,983255.9802760523
US,2022-03-27,2 wk ahead cum death,2022-04-09,US,quantile,0.15,991079.7144548218
