location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-03-13,1 wk ahead cum death,2022-03-19,US,quantile,0.01,975882.3094840866
US,2022-03-13,2 wk ahead cum death,2022-03-26,US,quantile,0.01,983459.671385999
US,2022-03-13,3 wk ahead cum death,2022-04-02,US,quantile,0.01,990690.9116281536
US,2022-03-13,4 wk ahead cum death,2022-04-09,US,quantile,0.01,997686.8744442419
US,2022-03-13,5 wk ahead cum death,2022-04-16,US,quantile,0.01,1004521.1462315521
US,2022-03-13,6 wk ahead cum death,2022-04-23,US,quantile,0.01,1011244.6172721953
US,2022-03-13,7 wk ahead cum death,2022-04-30,US,quantile,0.01,1017892.2717369124
US,2022-03-13,8 wk ahead cum death,2022-05-07,US,quantile,0.01,1024487.9569300101
US,2022-03-13,9 wk ahead cum death,2022-05-14,US,quantile,0.01,1031047.7462658206
US,2022-03-13,10 wk ahead cum death,2022-05-21,US,quantile,0.01,1037582.3019891415
US,2022-03-13,11 wk ahead cum death,2022-05-28,US,quantile,0.01,1044098.5217928956
US,2022-03-13,12 wk ahead cum death,2022-06-04,US,quantile,0.01,1050600.7166162948
US,2022-03-13,13 wk ahead cum death,2022-06-11,US,quantile,0.01,1056983.5318272654
US,2022-03-13,14 wk ahead cum death,2022-06-18,US,quantile,0.01,1063331.2086785797
US,2022-03-13,1 wk ahead inc death,2022-03-19,US,quantile,0.01,8330.309484086632
US,2022-03-13,2 wk ahead inc death,2022-03-26,US,quantile,0.01,7577.361901912322
US,2022-03-13,3 wk ahead inc death,2022-04-02,US,quantile,0.01,7231.24024215464
US,2022-03-13,4 wk ahead inc death,2022-04-09,US,quantile,0.01,6995.962816088237
US,2022-03-13,5 wk ahead inc death,2022-04-16,US,quantile,0.01,6834.271787310345
US,2022-03-13,6 wk ahead inc death,2022-04-23,US,quantile,0.01,6723.471040643081
US,2022-03-13,7 wk ahead inc death,2022-04-30,US,quantile,0.01,6647.654464717186
US,2022-03-13,8 wk ahead inc death,2022-05-07,US,quantile,0.01,6585.6198945742935
US,2022-03-13,9 wk ahead inc death,2022-05-14,US,quantile,0.01,6528.7372744775
US,2022-03-13,10 wk ahead inc death,2022-05-21,US,quantile,0.01,6482.263762533772
US,2022-03-13,11 wk ahead inc death,2022-05-28,US,quantile,0.01,6442.880022985674
US,2022-03-13,12 wk ahead inc death,2022-06-04,US,quantile,0.01,6408.29056447586
US,2022-03-13,13 wk ahead inc death,2022-06-11,US,quantile,0.01,6376.917044779863
US,2022-03-13,14 wk ahead inc death,2022-06-18,US,quantile,0.01,6347.676851314325
US,2022-03-13,1 wk ahead cum death,2022-03-19,US,quantile,0.025,975917.0465822689
US,2022-03-13,2 wk ahead cum death,2022-03-26,US,quantile,0.025,983573.4681975647
US,2022-03-13,3 wk ahead cum death,2022-04-02,US,quantile,0.025,990898.1753672775
US,2022-03-13,4 wk ahead cum death,2022-04-09,US,quantile,0.025,997987.8732843862
US,2022-03-13,5 wk ahead cum death,2022-04-16,US,quantile,0.025,1004906.8743814675
US,2022-03-13,6 wk ahead cum death,2022-04-23,US,quantile,0.025,1011700.0962262903
US,2022-03-13,7 wk ahead cum death,2022-04-30,US,quantile,0.025,1018398.8649621214
US,2022-03-13,8 wk ahead cum death,2022-05-07,US,quantile,0.025,1025024.98263154
US,2022-03-13,9 wk ahead cum death,2022-05-14,US,quantile,0.025,1031593.5786119839
US,2022-03-13,10 wk ahead cum death,2022-05-21,US,quantile,0.025,1038115.1320507008
US,2022-03-13,11 wk ahead cum death,2022-05-28,US,quantile,0.025,1044596.8693884995
